config,baseline,steps,normalization,intervention,learning_rate,normalized_learning_rate,target_and_hold_fraction,bounded_fraction,unresolved_fraction,divergent_fraction,median_final_ratio,median_tail_maximum_ratio
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,0.0007975872694518065,0.0027472893496267472,0.0,1.0,1.0,0.0,0.4555738041131798,0.4738845024417011
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,0.0009502750832828064,0.0032732225243676267,0.0,1.0,1.0,0.0,0.41164191791399296,0.42790108182680003
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,0.0011321930132219959,0.003899838834043165,0.0,1.0,1.0,0.0,0.36869017127083925,0.387707321506057
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,0.0013489367886616623,0.0046464127685450956,0.0,1.0,1.0,0.0,0.321229650841224,0.3391645575099869
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,0.0016071733693414447,0.005535908670696607,0.0,1.0,1.0,0.0,0.25865270290303943,0.286942067561135
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,0.0019148460186062853,0.00659568711108935,0.0,1.0,1.0,0.0,0.19224804152987834,0.2144937498923882
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,0.0022814186352993035,0.00785834648928845,0.0,1.0,1.0,0.0,0.15250763588576277,0.16730204689283784
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,0.0027181668598497987,0.009362725748752632,0.25,1.0,0.75,0.0,0.118279317464062,0.13068701126157892
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,0.0032385249088738217,0.011155099048615879,0.25,1.0,0.75,0.0,0.09143985921781736,0.10084372503907041
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,0.003858498806793542,0.013290599140000355,0.25,1.0,0.75,0.0,0.0678191534290037,0.07860953077899982
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,0.004597158725329799,0.015834913229398496,0.25,1.0,0.75,0.0,0.045339173308731016,0.053147342186393054
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,0.005477225575051662,0.01886630349326545,0.28125,1.0,0.71875,0.0,0.029139072213581363,0.03476664597847116
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,0.0065257698923257895,0.02247801439411618,0.34375,1.0,0.65625,0.0,0.017529707283879696,0.02153442072013933
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,0.007775044519174121,0.02678114084629526,0.5,1.0,0.5,0.0,0.009565589880759937,0.01224521907992318
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,0.00926347668896959,0.03190804545515575,0.5,1.0,0.5,0.0,0.0045972233187792,0.006200616278148899
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,0.011036850034165217,0.03801642994268209,0.5,1.0,0.5,0.0,0.0018919161192945764,0.002717882477590662
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,0.013149712874184644,0.04529418599512901,0.5,1.0,0.5,0.0,0.0006471811866348672,0.0010019370069004063
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,0.015667056101897645,0.05396517474298644,0.5,1.0,0.5,0.0,0.00017794223326325403,0.00030089164168939706
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,0.01866631227985865,0.06429611264797312,0.5,1.0,0.5,0.0,3.7808596659914755e-05,7.094120351281692e-05
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,0.022239737437781862,0.07660477560443962,0.5625,1.0,0.4375,0.0,5.923580937262941e-06,1.2568359035921469e-05
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,0.026497248834477422,0.09126977361035749,0.75,1.0,0.25,0.0,6.466368348910197e-07,1.5872708286659514e-06
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,0.031569805972774166,0.10874219667322062,0.75,1.0,0.25,0.0,4.592010709461248e-08,1.3405162737031072e-07
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,0.037613438866218936,0.12955949017469112,0.75,1.0,0.25,0.0,1.952150495801042e-09,7.006667775318804e-09
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,0.04481404746557166,0.15436198649516158,0.75,1.0,0.25,0.0,4.49368277549323e-11,2.0639518420331465e-10
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,0.05339311987371051,0.18391260140499585,0.78125,1.0,0.21875,0.0,4.962754651782924e-13,3.060253612815667e-12
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,0.06361454523915885,0.2191203010762827,0.84375,1.0,0.15625,0.0,2.272590151992404e-15,1.992898479252978e-14
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,0.07579273089036216,0.26106806155185247,1.0,1.0,0.0,0.0,3.618263972745536e-18,4.834926022235461e-17
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,0.09030227339081447,0.31104618069466045,1.0,1.0,0.0,0.0,1.6183440802731237e-21,3.580437054436584e-20
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,0.10758948099317438,0.37059196728098914,1.0,1.0,0.0,0.0,1.5697339644649236e-25,6.354278754527882e-24
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,0.12818610191887025,0.4415370280595486,1.0,1.0,0.0,0.0,2.408791170216714e-30,2.012653739912428e-28
